Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Solar-Driven Supercritical CO2 Brayton Cycle",https://arena.gov.au/projects/solar-driven-supercritical-co2-brayton-cycle/,"Concentrated solar thermal","Building on CSIRO’s solar air turbine technology, this project examined ways to reduce the cost of solar energy to less than 10 cents per kilowatt hour (c/kWh) which would make solar energy cost competitive with existing power stations.
",$2.49m,$5.77m,CSIRO,"Research and Development",01/11/2011,"New South Wales, Newcastle",None,Past
"Optimisation of Central Receivers for Advanced Power Cycles",https://arena.gov.au/projects/optimisation-of-central-receivers-for-advanced-power-cycles/,"Concentrated solar thermal","The Optimisation of Central Receivers for Advanced Power Cycles examines if concentrating solar power (CSP) technology is to be widely adopted for electricity production its costs must be substantially reduced, similar to the cost reduction achieved by solar photovoltaic technology in recent years.
",$1.15m,$2.95m,CSIRO,"Australian Solar Institute",01/11/2011,"New South Wales",None,Past
"Roof-Mounted Hybrid CST System",https://arena.gov.au/projects/roof-mounted-hybrid-cst-system-self-generated-heating-cooling-electricity/,"Concentrated solar thermal","This project aims to develop and commercialise a roof-mounted hybrid solar concentrator PV/thermal system that cost effectively delivers solar heating, cooling and electricity.
",$3.24m,$9.45m,"Australian National University (ANU)","Australian Solar Institute",01/08/2011,"Australian Capital Territory, Canberra","RMIT CSIRO UNSW Chromasun NEP",Past
"Future fuels",https://arena.gov.au/projects/future-fuels-homepage/,"Electric vehicles",,$0k,$0k,,"Future Fuels Fund (Round 1)",03/06/2011,,,Past
"Thermoelectric Generator for Concentrated Solar Thermal Systems",https://arena.gov.au/projects/thermoelectric-generator-for-concentrated-solar-thermal-systems/,"Concentrated solar thermal","The Thermoelectric Generator for Concentrated Solar Thermal Systems project developed and applied high-performance thermoelectric materials and technologies to concentrated solar thermal (CST) systems.
",$2.2m,$4.72m,CSIRO,"Australian Solar Institute",06/04/2011,"New South Wales, Newcastle",None,Past
"Characterising and Forecasting Grid Connected Solar Energy",https://arena.gov.au/projects/characterising-and-forecasting-grid-connected-solar-energy/,"Solar energy","The project looked at new techniques of applying known models to the forecasting challenge, and ways to understand how solar and wind can smoothly integrate into the electricity grid.
",$470k,$832k,"University of NSW","Australian Solar Institute",01/04/2011,"New South Wales","University of South Australia, Australian Photovoltaic Association, Epuron and Australian Bureau of Meteorology",Past
"Industry Ready N-Type Silicon Solar Cells",https://arena.gov.au/projects/industry-ready-n-type-silicon-solar-cells/,"Solar energy","The Industry Ready N-Type Silicon Solar Cells project successfully increased the amount of energy a solar cell can convert from sunlight without extra manufacturing costs per cell by combining the existing fast and inexpensive methods used to make today’s standard silicon solar cells with the latest advances in high efficiency silicon solar cells.
",$3.33m,$10.95m,"Australian National University","Australian Solar Institute",01/04/2011,"Australian Capital Territory, Canberra","Trina Solar and University of NSW",Past
"Printing Solar Cells",https://arena.gov.au/projects/printing-solar-cells-a-manufacturing-proposal-for-australia/,"Solar energy","This project developed new materials and solar cell designs with enhanced performance that significantly improve the efficiency and durability of organic photovoltaic (OPV) solar cells.
",$1.76m,$7.24m,"University of Melbourne","Australian Solar Institute",01/04/2011,"Melbourne, Victoria",None,Past
"Synthesis of Organic Photovoltaic Materials using Continuous Flow Methods",https://arena.gov.au/projects/synthesis-of-organic-photovoltaic-materials-using-continuous-flow-methods/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop continuous flow methodologies for synthesis of organic photovoltaic materials.
",$324k,$324k,"University of Melbourne","Post Fellowship Doctorate",01/04/2011,"Parkville, Victoria",None,Past
"Analysis of Potential for Liquid Metal Heat Transfer",https://arena.gov.au/projects/analysis-of-potential-for-liquid-metal-heat-transfer/,"Concentrated solar thermal","This project demonstrated the world’s first pre-commercial pilot of enabling technologies to analyse the potential for liquid metal heat transfer fluids to improve the commercial competitiveness and dispatchability of concentrating solar power.
",$29k,$29k,"University of New South Wales","Post Fellowship Doctorate",28/03/2011,"Kensington, New South Wales",None,Past
"Pilot of Rooftop CST and CPV-T Solar Energy Systems",https://arena.gov.au/projects/australian-pilot-of-rooftop-cst-and-cpv-t-micro-concentrator-solar-energy-systems/,"Concentrated solar thermal","(Project closed 7 November 2014) Chromasun was partnering with the Futuris Group of Companies to develop and establish an Australian pilot manufacturing capability for the Chromasun Micro-Concentrator (MCT) concentrating solar thermal (CST) product. ARENA’s funding commitment was $3.4 million.
",$2.25m,$2.25m,"Chromasun Pty Ltd","Australian Solar Institute",13/03/2011,Victoria,"Futuris Group",Past
"Kogan Creek Solar Boost Project",https://arena.gov.au/projects/kogan-creek-solar-boost-project/,"Concentrated solar thermal","The Kogan Creek Solar Boost Project set out to install a 44 megawatts of concentrating solar power (CSP) at CS Energy’s 750 megawatt coal-fired Kogan Creek Power Station.
",$6.4m,$76.2m,"CS Energy Ltd","Advancing Renewables Program",03/03/2011,"Chinchilla, Queensland",None,Past
"Improved PV Energy Conversion",https://arena.gov.au/projects/upconversion-of-the-solar-spectrum-for-improved-pv-energy-conversion/,"Solar energy","This project aimed to overcome the limitations of normal solar cells by developing a solar cell coating that can harvest sub-threshold light.
",$488k,$2.09m,"University of Sydney","Australian Solar Institute",01/03/2011,"New South Wales",None,Past
"Thin Film Solar Cell: A Novel Alternative for TW-level Thin Film PV",https://arena.gov.au/projects/thin-film-solar-cell-a-novel-alternative-for-tw-level-thin-film-pv/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to design and manufacture high quality copper-zinc-tin-sulfur (CZTS) thin film solar cells for TW-level thin film PV.
",$315k,$315k,"University of New South Wales","Post Fellowship Doctorate",01/03/2011,"New South Wales",None,Past
"Development of Novel Water-Based Materials for Commercial Organic Photovoltaics",https://arena.gov.au/projects/development-of-novel-water-based-materials-for-commercial-organic-photovoltaics/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop novel water-based materials for commercial organic photovoltaics.
",$40k,$40k,"University of Newcastle","Post Fellowship Doctorate",28/02/2011,"New South Wales, Newcastle",None,Past
"Development and Characterisation of Ion Implantation for all Back Contact Solar Cells",https://arena.gov.au/projects/development-and-characterisation-of-ion-implantation-for-all-back-contact-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop and characterise ion implantation for all back contact solar cells.
",$25k,$25k,"Australian National University","Post Fellowship Doctorate",25/02/2011,"Acton, Australian Capital Territory",None,Past
"Intermediate Layers for Laser Crystallised Silicon Thin Film Solar Cells on Glass",https://arena.gov.au/projects/intermediate-layers-for-laser-crystallised-silicon-thin-film-solar-cells-on-glass/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to investigate intermediate layers for laser crystallised silicon thin film solar cells on glass.
",$20k,$20k,"University of New South Wales","Post Fellowship Doctorate",23/02/2011,"Kensington, New South Wales",None,Past
"Tandem Quantum Dot Solar Cells",https://arena.gov.au/projects/tandem-quantum-dot-solar-cells/,"Solar energy","This project is demonstrating a new type of photovoltaic solar cell that combines the reliability of silicon with a technology that can more effectively collect visible and invisible solar energy (called a tandem solar cell) thereby creating a new type of tandem solar cell based solely on silicon.
",$1.37m,$4.54m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney","Nanyang Technological University (Singapore)",Past
"Power Cube Power Tower Receiver",https://arena.gov.au/projects/power-cube-power-tower-receiver/,"Solar energy","This project is aims to reduce the cost of utility scale photovoltaics by developing a technology that splits sunlight into specific wavelength bands and converts each into electricity using commercially available solar cells.
",$1.4m,$3.21m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney",None,Past
"The Hot Carrier Solar Cell",https://arena.gov.au/projects/the-hot-carrier-solar-cell/,"Solar energy","The aim of this project was to develop a prototype Hot Carrier (HC) solar cell and establish routes toward the development of practical devices. The HC solar cell is a promising advanced photovoltaics or so called “third generation” concept which aims to tackle the major efficiency loss in conventional solar cells.
",$563k,$1.33m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney","Lawrence Berkeley National Laboratory (USA) National Renewable Energy Laboratory (USA) Purdue University (USA) Arizona State University (USA)",Past
